years,event_name,link,status,duration
2014,i-联赛第2赛季,/event/106.html,已结束,2014/12/03 — 2015/03/30
2014,2015 欧洲扩展赛,/event/15.html,已结束,2014/11/23 — 2014/12/19
2014,华硕ROG梦幻联赛第2赛季,/event/115.html,已结束,2014/11/17 — 2014/11/30
2014,2015 北美扩展赛,/event/14.html,已结束,2014/11/15 — 2014/12/21
2014,SLTV群星联赛第11赛季,/event/109.html,已结束,2014/11/14 — 2015/01/19
2014,XMG队长征召联赛2.0,/event/112.html,已结束,2014/11/01 — 2014/12/22
2014,韩国Dota联赛第4赛季,/event/113.html,已结束,2014/10/26 — 2014/12/21
2014,G联赛2014、2015赛季,/event/88.html,已结束,2014/10/25 — 2015/07/10
2014,D2L 联赛第五赛季,/event/110.html,已结束,2014/10/14 — 2015/01/07
2014,“同心协力”联赛第1赛季,/event/116.html,已结束,2014/10/13 — 2014/11/10
2014,巅峰联赛第2赛季,/event/114.html,已结束,2014/10/04 — 2014/12/08
2014,2014WCA世界电子竞技大赛,/event/122.html,已结束,2014/10/02 — 2014/10/05
2014,Dota之渊联赛第2赛季,/event/111.html,已结束,2014/10/01 — 2014/12/24
2014,2014 S4 全球总决赛,/event/18.html,已结束,2014/09/18 — 2014/10/19
2014,Dota 2冠军联赛第4赛季,/event/117.html,已结束,2014/09/15 — 2014/11/03
2014,2015 LCS 北美春季资格赛,/event/39.html,已结束,2014/09/10 — 2014/09/10
2014,2015 LCS 欧洲春季资格赛,/event/47.html,已结束,2014/09/09 — 2014/09/11
2014,2014 S4 世界总决赛LPL预选赛,/event/32.html,已结束,2014/09/06 — 2014/09/07
2014,2014年ESL One纽约联赛,/event/121.html,已结束,2014/09/05 — 2014/10/11
2014,SL10 群星联赛第10赛季,/event/120.html,已结束,2014/08/31 — 2014/10/27
2014,S4世界总决赛韩国地区预选赛,/event/58.html,已结束,2014/08/28 — 2014/08/30
2014,2014 S4 Circuit Points Tiebreaker,/event/59.html,已结束,2014/08/27 — 2014/08/27
2014,莫斯科豪杰联赛第2赛季,/event/118.html,已结束,2014/08/26 — 2014/10/29
2014,2014 北美挑战者夏季季后赛,/event/51.html,已结束,2014/08/22 — 2014/08/25
2014,2014WEC世界电子竞技冠军赛,/event/123.html,已结束,2014/08/16 — 2014/09/07
2014,i-联赛第1赛季,/event/89.html,已结束,2014/08/12 — 2014/12/05
2014,2014 欧洲挑战者夏季季后赛,/event/55.html,已结束,2014/08/05 — 2014/08/09
2014,2014 OGN 夏季赛,/event/28.html,已结束,2014/06/18 — 2014/08/16
2014,2014 CS 欧洲夏季第2系列赛,/event/26.html,已结束,2014/06/18 — 2014/07/31
2014,2014 CS 欧洲夏季第1系列赛,/event/25.html,已结束,2014/06/18 — 2014/06/21
2014,2014 LPL 夏季赛,/event/31.html,已结束,2014/06/14 — 2014/08/24
2014,2014 LCS 北美夏季赛,/event/3.html,已结束,2014/05/24 — 2014/08/24
2014,2014 LCS 欧洲夏季赛,/event/6.html,已结束,2014/05/20 — 2014/08/07
2014,2014 CS北美区夏季第2系列赛,/event/22.html,已结束,2014/05/20 — 2014/06/16
2014,2014 CS北美区夏季第1系列赛,/event/21.html,已结束,2014/05/20 — 2014/08/17
2014,国际邀请赛2014,/event/124.html,已结束,2014/05/16 — 2014/07/09
2014,2014 全明星赛,/event/16.html,已结束,2014/05/08 — 2014/05/11
2014,2014年ESL One法兰克福联赛,/event/125.html,已结束,2014/05/01 — 2014/06/30
2014,Dota 2冠军联赛第3赛季,/event/84.html,已结束,2014/05/01 — 2014/06/26
2014,2014 LCS 北美夏季资格赛,/event/38.html,已结束,2014/04/27 — 2014/04/27
2014,2014DreamHack布加勒斯特邀请赛,/event/86.html,已结束,2014/04/26 — 2014/04/27
2014,2014 LCS 欧洲夏季资格赛,/event/46.html,已结束,2014/04/24 — 2014/04/24
2014,巅峰联赛第1赛季,/event/87.html,已结束,2014/04/21 — 2014/06/06
2014,2014 北美挑战者春季季后赛,/event/50.html,已结束,2014/04/05 — 2014/04/14
2014,D2L西方挑战赛,/event/85.html,已结束,2014/04/05 — 2014/06/25
2014,2014 欧洲挑战者春季季后赛,/event/54.html,已结束,2014/04/02 — 2014/04/18
2014,WPC世界电子竞技精英赛,/event/83.html,已结束,2014/03/29 — 2014/06/02
2014,2014 OGN 春季赛,/event/27.html,已结束,2014/03/12 — 2014/05/24
2014,SLTV群星联赛第9赛季,/event/82.html,已结束,2014/03/06 — 2014/04/21
2014,华硕ROG梦幻联赛第1赛季,/event/81.html,已结束,2014/03/04 — 2014/06/17
2014,2014 CS 北美区春季第2系列赛,/event/20.html,已结束,2014/03/02 — 2014/04/03
2014,2014 CS 欧洲春季第2系列赛,/event/24.html,已结束,2014/02/28 — 2014/03/06
2014,2014 LPL 春季赛,/event/30.html,已结束,2014/02/22 — 2014/05/25
2014,XMG队长征召邀请赛,/event/80.html,已结束,2014/02/19 — 2014/04/01
2014,Dota 2冠军联赛第2赛季,/event/79.html,已结束,2014/02/10 — 2014/04/16
2014,2014 LCS 欧洲春季赛,/event/5.html,已结束,2014/01/15 — 2014/04/15
2014,2014  CS 欧洲春季赛,/event/23.html,已结束,2014/01/14 — 2014/04/03
2014,2014 LCS 北美春季赛,/event/2.html,已结束,2014/01/14 — 2014/04/21
2014,2014 北美挑战者春季第1系列赛,/event/19.html,已结束,2014/01/14 — 2014/04/03
2015,2015 IEM 科隆站,/event/164.html,已结束,2015/12/19 — 2015/12/21
2015,WCA 2015 LOL 全球总决赛,/event/163.html,已结束,2015/12/17 — 2015/12/20
2015,WCA 2015 DOTA2全球总决赛,/event/161.html,已结束,2015/12/17 — 2015/12/20
2015,2015全明星赛,/event/149.html,已结束,2015/12/10 — 2015/12/14
2015,NEST2015全国电子竞技大赛,/event/154.html,已结束,2015/11/27 — 2015/11/29
2015,2015 德玛西亚杯—武汉,/event/158.html,已结束,2015/11/21 — 2015/11/22
2015,2015IEM圣何塞站,/event/152.html,已结束,2015/11/21 — 2015/11/23
2015,法兰克福秋季特锦赛,/event/153.html,已结束,2015/11/16 — 2015/11/21
2015,2015年韩国电竞协会杯,/event/157.html,已结束,2015/11/06 — 2015/11/15
2015,ECL2015年秋季赛,/event/160.html,已结束,2015/10/16 — 2015/11/28
2015,TS4巅峰联赛,/event/155.html,已结束,2015/10/01 — 2015/12/13
2015,2015全球总决赛,/event/136.html,已结束,2015/10/01 — 2015/11/01
2015,2016 LCS 北美赛区春季赛资格赛,/event/151.html,已结束,2015/09/06 — 2015/09/08
2015,2016 LCS 欧洲赛区春季赛资格赛,/event/150.html,已结束,2015/09/05 — 2015/09/06
2015,2015 S5 LPL 预选赛,/event/137.html,已结束,2015/09/04 — 2015/09/05
2015,2015 S5 LCK韩国赛区预选赛,/event/144.html,已结束,2015/09/01 — 2015/09/05
2015,2015 南洋杯DOTA2国际锦标赛,/event/147.html,已结束,2015/09/01 — 2015/11/01
2015,2015 S5 LCS北美赛区预选赛,/event/138.html,已结束,2015/08/28 — 2015/09/01
2015,2015 S5 LCS欧洲赛区预选赛,/event/139.html,已结束,2015/08/27 — 2015/09/01
2015,S5赛季世界总决赛外卡赛,/event/143.html,已结束,2015/08/26 — 2015/08/31
2015,2015 ESL One 纽约站,/event/148.html,已结束,2015/08/22 — 2015/10/05
2015,2015 S5 港澳台地区预选赛,/event/140.html,已结束,2015/08/14 — 2015/08/16
2015,2015 LJL 日本联赛总决赛,/event/156.html,已结束,2015/08/08 — 2015/08/08
2015,LOL娱乐竞技赛集合,/event/134.html,已结束,2015/08/04 — 2015/08/08
2015,2015 TI5国际邀请赛,/event/133.html,已结束,2015/07/26 — 2015/08/10
2015,火猫TV仲夏联赛 第一届,/event/131.html,已结束,2015/07/14 — 2015/07/22
2015,斗鱼杯dota2邀请赛,/event/132.html,已结束,2015/07/10 — 2015/07/22
2015,2015 LCS 北美夏季赛,/event/41.html,已结束,2015/05/31 — 2015/08/30
2015,2015 LCS 欧洲夏季赛,/event/49.html,已结束,2015/05/29 — 2015/08/30
2015,2015 CS 北美挑战者夏季预选赛,/event/53.html,已结束,2015/05/27 — 2015/06/11
2015,2015 CS 欧洲挑战者夏季预选赛,/event/57.html,已结束,2015/05/27 — 2015/06/11
2015,2015 德玛西亚杯—北京,/event/126.html,已结束,2015/05/25 — 2015/07/12
2015,2015 LPL 夏季赛,/event/62.html,已结束,2015/05/22 — 2015/08/24
2015,2015 LMS 港澳台区夏季赛,/event/63.html,已结束,2015/05/20 — 2015/08/16
2015,2015 LCK 韩国夏季赛,/event/60.html,已结束,2015/05/20 — 2015/08/29
2015,2015年国际邀请赛预选赛,/event/92.html,已结束,2015/05/17 — 2015/06/01
2015,2015 LCK 夏季资格赛,/event/29.html,已结束,2015/05/15 — 2015/05/16
2015,2015年MDL国际精英邀请赛,/event/95.html,已结束,2015/05/08 — 2015/06/07
2015,2015 MSI 季中邀请赛,/event/33.html,已结束,2015/05/08 — 2015/05/10
2015,2015 LCS 北美夏季资格赛,/event/40.html,已结束,2015/04/27 — 2015/04/27
2015,2015 LCS 欧洲夏季资格赛,/event/48.html,已结束,2015/04/25 — 2015/04/26
2015,2015MLG职业联赛第2赛季,/event/94.html,已结束,2015/04/21 — 2015/06/08
2015,2015 LPL 夏季资格赛,/event/61.html,已结束,2015/04/14 — 2015/04/14
2015,2015WCA世界电子竞技大赛,/event/96.html,已结束,2015/04/13 — 2015/12/01
2015,2015ECL电竞冠军联赛春季赛,/event/93.html,已结束,2015/04/11 — 2015/06/14
2015,Dota 2加拿大联赛第5赛季,/event/99.html,已结束,2015/04/07 — 2015/05/22
2015,DL S3 华硕ROG梦幻联赛第3赛季,/event/97.html,已结束,2015/04/07 — 2015/06/16
2015,红牛战场Dota 2联赛,/event/100.html,已结束,2015/04/06 — 2015/05/11
2015,i-联赛第3赛季,/event/98.html,已结束,2015/03/31 — 2015/05/23
2015,SL12 群星联赛第12赛季,/event/104.html,已结束,2015/03/12 — 2015/04/26
2015,2015年 ESL One 法兰克福联赛,/event/103.html,已结束,2015/03/12 — 2015/06/21
2015,TS3巅峰联赛第3赛季,/event/91.html,已结束,2015/03/06 — 2015/05/18
2015,终极高手挑战赛,/event/934.html,已结束,2015/03/01 — 2015/03/05
2015,D2CL第5赛季,/event/101.html,已结束,2015/02/24 — 2015/05/11
2015,2015 CS 北美挑战者春季赛,/event/8.html,已结束,2015/02/18 — 2015/04/01
2015,2015 CS 欧洲挑战者春季赛,/event/9.html,已结束,2015/02/18 — 2015/04/01
