year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2017,summer,常规赛,RNG,OMG,0,2,06-08,17:00,https://www.wanplus.com/schedule/30824.html,2017/06/08 17:00:00,30824
2017,summer,常规赛,LGD,JDG,2,0,06-08,19:00,https://www.wanplus.com/schedule/30825.html,2017/06/08 19:00:00,30825
2017,summer,常规赛,EDG,DAN,0,2,06-09,17:00,https://www.wanplus.com/schedule/30826.html,2017/06/09 17:00:00,30826
2017,summer,常规赛,WE,IG,2,1,06-09,19:00,https://www.wanplus.com/schedule/30827.html,2017/06/09 19:00:00,30827
2017,summer,常规赛,SN,NB,1,2,06-10,14:00,https://www.wanplus.com/schedule/30828.html,2017/06/10 14:00:00,30828
2017,summer,常规赛,OMG,JDG,2,1,06-10,16:00,https://www.wanplus.com/schedule/30829.html,2017/06/10 16:00:00,30829
2017,summer,常规赛,RNG,LGD,2,1,06-10,18:00,https://www.wanplus.com/schedule/30830.html,2017/06/10 18:00:00,30830
2017,summer,常规赛,EDG,LNG,2,0,06-11,14:00,https://www.wanplus.com/schedule/30831.html,2017/06/11 14:00:00,30831
2017,summer,常规赛,WE,DAN,2,0,06-11,16:00,https://www.wanplus.com/schedule/30832.html,2017/06/11 16:00:00,30832
2017,summer,常规赛,IM,IG,1,2,06-11,18:00,https://www.wanplus.com/schedule/30833.html,2017/06/11 18:00:00,30833
2017,summer,常规赛,LNG,DAN,0,2,06-15,17:00,https://www.wanplus.com/schedule/30834.html,2017/06/15 17:00:00,30834
2017,summer,常规赛,EDG,IM,2,0,06-15,19:00,https://www.wanplus.com/schedule/30835.html,2017/06/15 19:00:00,30835
2017,summer,常规赛,OMG,SN,2,1,06-16,17:00,https://www.wanplus.com/schedule/30836.html,2017/06/16 17:00:00,30836
2017,summer,常规赛,NB,JDG,2,1,06-16,19:00,https://www.wanplus.com/schedule/30837.html,2017/06/16 19:00:00,30837
2017,summer,常规赛,IM,DAN,0,2,06-17,14:00,https://www.wanplus.com/schedule/30838.html,2017/06/17 14:00:00,30838
2017,summer,常规赛,EDG,IG,2,0,06-17,16:00,https://www.wanplus.com/schedule/30839.html,2017/06/17 16:00:00,30839
2017,summer,常规赛,WE,LNG,1,2,06-17,18:00,https://www.wanplus.com/schedule/30840.html,2017/06/17 18:00:00,30840
2017,summer,常规赛,OMG,LGD,2,0,06-18,14:00,https://www.wanplus.com/schedule/30841.html,2017/06/18 14:00:00,30841
2017,summer,常规赛,RNG,NB,2,1,06-18,16:00,https://www.wanplus.com/schedule/30842.html,2017/06/18 16:00:00,30842
2017,summer,常规赛,SN,JDG,2,1,06-18,18:00,https://www.wanplus.com/schedule/30843.html,2017/06/18 18:00:00,30843
2017,summer,常规赛,WE,IM,2,0,06-22,17:00,https://www.wanplus.com/schedule/30844.html,2017/06/22 17:00:00,30844
2017,summer,常规赛,IG,LNG,2,0,06-22,19:00,https://www.wanplus.com/schedule/30845.html,2017/06/22 19:00:00,30845
2017,summer,常规赛,LGD,NB,2,1,06-23,17:00,https://www.wanplus.com/schedule/30846.html,2017/06/23 17:00:00,30846
2017,summer,常规赛,RNG,SN,1,2,06-23,19:00,https://www.wanplus.com/schedule/30847.html,2017/06/23 19:00:00,30847
2017,summer,常规赛,IG,DAN,0,2,06-24,14:00,https://www.wanplus.com/schedule/30848.html,2017/06/24 14:00:00,30848
2017,summer,常规赛,IM,LNG,2,1,06-24,16:00,https://www.wanplus.com/schedule/30849.html,2017/06/24 16:00:00,30849
2017,summer,常规赛,WE,EDG,2,1,06-24,18:00,https://www.wanplus.com/schedule/30850.html,2017/06/24 18:00:00,30850
2017,summer,常规赛,OMG,NB,2,0,06-25,14:00,https://www.wanplus.com/schedule/30851.html,2017/06/25 14:00:00,30851
2017,summer,常规赛,LGD,SN,2,1,06-25,16:00,https://www.wanplus.com/schedule/30852.html,2017/06/25 16:00:00,30852
2017,summer,常规赛,RNG,JDG,2,0,06-25,18:00,https://www.wanplus.com/schedule/30853.html,2017/06/25 18:00:00,30853
2017,summer,常规赛,DAN,RNG,0,2,06-29,17:00,https://www.wanplus.com/schedule/30854.html,2017/06/29 17:00:00,30854
2017,summer,常规赛,IG,JDG,2,1,06-29,19:00,https://www.wanplus.com/schedule/30855.html,2017/06/29 19:00:00,30855
